               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.024161,             0.02852,           0.0099144,             0.36115,             0.36462,             0.27479,             0.11183,            0.051283,            0.036503,            0.036515,            0.001387,            0.001387,            0.001387
                  89,            0.023837,            0.028424,           0.0099592,              0.3846,             0.36161,             0.28148,             0.11553,            0.050662,            0.036815,            0.036271,            0.001288,            0.001288,            0.001288
                  90,            0.023858,            0.028249,             0.01003,             0.36958,             0.36796,             0.27783,             0.11506,            0.050476,            0.037452,            0.037058,            0.001189,            0.001189,            0.001189
                  91,            0.023649,            0.028087,           0.0098774,             0.37154,             0.36563,             0.27977,             0.11594,            0.050466,            0.037524,            0.038534,             0.00109,             0.00109,             0.00109
                  92,            0.023581,            0.027645,           0.0097387,             0.36967,             0.35939,             0.26797,              0.1107,            0.051515,            0.037994,             0.03782,            0.000991,            0.000991,            0.000991
                  93,            0.023462,            0.027683,           0.0097737,             0.37872,             0.34689,             0.26986,             0.11016,            0.051429,            0.038356,            0.038315,            0.000892,            0.000892,            0.000892
                  94,            0.022922,            0.027376,           0.0092758,             0.38045,             0.35924,             0.27779,             0.11499,            0.051288,            0.038605,            0.039076,            0.000793,            0.000793,            0.000793
                  95,             0.02265,            0.027299,           0.0090058,             0.36751,             0.34878,              0.2682,             0.11212,            0.051733,            0.038809,            0.038916,            0.000694,            0.000694,            0.000694
                  96,            0.022812,            0.026823,           0.0092382,             0.38373,             0.34806,             0.27385,              0.1154,            0.051777,            0.039154,            0.038755,            0.000595,            0.000595,            0.000595
                  97,            0.022543,            0.026929,           0.0089738,             0.38231,             0.34636,             0.26649,              0.1114,            0.052426,            0.039333,            0.038582,            0.000496,            0.000496,            0.000496
                  98,            0.022389,            0.026201,           0.0092959,             0.37883,             0.33922,              0.2731,             0.11436,            0.052367,            0.039548,            0.038276,            0.000397,            0.000397,            0.000397
                  99,            0.022189,            0.026171,           0.0092579,             0.36513,             0.34381,             0.27088,             0.11357,            0.052061,            0.039778,            0.038475,            0.000298,            0.000298,            0.000298
